,Film,U.S. release date,Director(s),Screenwriter(s),Producer(s),Based on,Starring,Cinematography,Edited by,Music by,Productioncompany,Distributed by,Running time,Country,Language,Budget,Box office,Written by,Productioncompanies,Story by
0,Iron Man,"May 2, 2008",Jon Favreau,Mark Fergus & Hawk Ostby and Art Marcum & Matt Holloway,Avi Arad and Kevin Feige,"['Stan Lee', 'Larry Lieber', 'Don Heck', 'Jack Kirby']","['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Shaun Toub', 'Gwyneth Paltrow']",Matthew Libatique,Dan Lebental,Ramin Djawadi,Marvel Studios,Paramount Pictures,126 minutes,United States,English,$140 million,$585.8 million,,,
1,The Incredible Hulk,"June 13, 2008",Louis Leterrier,Zak Penn,"Avi Arad, Gale Anne Hurdand Kevin Feige","['Stan Lee', 'Jack Kirby']","['Edward Norton', 'Liv Tyler', 'Tim Roth', 'Tim Blake Nelson', 'Ty Burrell', 'William Hurt']",Peter Menzies Jr.,"['John Wright', 'Rick Shaine', 'Vincent Tabaillon']",Craig Armstrong,,Universal Pictures,112 minutes,United States,English,$137.5–150 million,$264.8 million,Zak Penn,"['Marvel Studios', 'Valhalla Motion Pictures']",
2,Iron Man 2,"May 7, 2010",Jon Favreau,Justin Theroux,Kevin Feige,"['Stan Lee', 'Larry Lieber', 'Don Heck', 'Jack Kirby']","['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson']",Matthew Libatique,"['Dan Lebental', 'Richard Pearson']",John Debney,Marvel Studios,Paramount Pictures,125 minutes,United States,English,$170–200 million,$623.9 million,,,
3,Thor,"May 6, 2011",Kenneth Branagh,Ashley Edward Miller & Zack Stentz and Don Payne,,"['Stan Lee', 'Larry Lieber', 'Jack Kirby']","['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgård', 'Colm Feore', 'Ray Stevenson', 'Idris Elba', 'Kat Dennings', 'Rene Russo', 'Anthony Hopkins']",Haris Zambarloukos,Paul Rubell,Patrick Doyle,Marvel Studios,Paramount Pictures,114 minutes,United States,English,$150 million,$449.3 million,,,"['J. Michael Straczynski', 'Mark Protosevich']"
4,Captain America: The First Avenger,"July 22, 2011",Joe Johnston,Christopher Markus & Stephen McFeely,,"['Joe Simon', 'Jack Kirby']","['Chris Evans', 'Tommy Lee Jones', 'Hugo Weaving', 'Hayley Atwell', 'Sebastian Stan', 'Dominic Cooper', 'Neal McDonough', 'Derek Luke', 'Stanley Tucci']",Shelly Johnson,"['Jeffrey Ford', 'Robert Dalva']",Alan Silvestri,Marvel Studios,Paramount Pictures,124 minutes,United States,English,$140–216.7 million,$370.6 million,,,
5,Marvel's The Avengers,"May 4, 2012",Joss Whedon,,,"['Stan Lee', 'Jack Kirby']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson']",Seamus McGarvey,"['Jeffrey Ford', 'Lisa Lassek']",Alan Silvestri,Marvel Studios,Walt Disney StudiosMotion Pictures,143 minutes,United States,English,$220 million,$1.519 billion,,,"['Zak Penn', 'Joss Whedon']"
6,Iron Man 3,"May 3, 2013",Shane Black,Drew Pearce and Shane Black,Kevin Feige,"['Stan Lee', 'Don Heck', 'Larry Lieber', 'Jack Kirby']","['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Stéphanie Szostak', 'James Badge Dale', 'Jon Favreau', 'Ben Kingsley']",John Toll,"['Jeffrey Ford', 'Peter S. Elliot']",Brian Tyler,Marvel Studios,Walt Disney StudiosMotion Pictures,131 minutes,United States,English,$200 million,$1.215 billion,,,
7,Thor: The Dark World,"November 8, 2013",Alan Taylor,Christopher L. Yost and Christopher Markus & Stephen McFeely,,"['Stan Lee', 'Larry Lieber', 'Jack Kirby']","['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård', 'Idris Elba', 'Christopher Eccleston', 'Adewale Akinnuoye-Agbaje', 'Kat Dennings', 'Ray Stevenson', 'Zachary Levi', 'Tadanobu Asano', 'Jaimie Alexander', 'Rene Russo']",Kramer Morgenthau,"['Dan Lebental', 'Wyatt Smith']",Brian Tyler,Marvel Studios,Walt Disney StudiosMotion Pictures,112 minutes,United States,English,$150–170 million,$644.8 million,,,"['Don Payne', 'Robert Rodat']"
8,Captain America: The Winter Soldier,"April 4, 2014",Anthony and Joe Russo,Christopher Markus & Stephen McFeely,,"['Joe Simon', 'Jack Kirby']","['Chris Evans', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders', 'Frank Grillo', 'Emily VanCamp', 'Hayley Atwell', 'Robert Redford', 'Samuel L. Jackson']",Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",Henry Jackman,Marvel Studios,Walt Disney StudiosMotion Pictures,136 minutes,United States,English,$170–177 million,$714.4 million,,,
9,Guardians of the Galaxy,"August 1, 2014",James Gunn,James Gunn and Nicole Perlman,,"['Dan Abnett', 'Andy Lanning']","['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Lee Pace', 'Michael Rooker', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly', 'Glenn Close', 'Benicio del Toro']",Ben Davis,"['Fred Raskin', 'Craig Wood', 'Hughes Winborne']",Tyler Bates,Marvel Studios,Walt Disney StudiosMotion Pictures,122 minutes,United States,English,"['$232.3 million (gross)', '$195.9 million (net)']",$772.8 million,"['James Gunn', 'Nicole Perlman']",,
10,Avengers: Age of Ultron,"May 1, 2015",Joss Whedon,,,"['Stan Lee', 'Jack Kirby']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Stellan Skarsgård', 'James Spader', 'Samuel L. Jackson']",Ben Davis,"['Jeffrey Ford', 'Lisa Lassek']","['Brian Tyler', 'Danny Elfman']",Marvel Studios,Walt Disney StudiosMotion Pictures,141 minutes,United States,English,"['$444–495.2 million (gross)', '$365 million (net)']",$1.403 billion,Joss Whedon,,
11,Ant-Man,"July 17, 2015",Peyton Reed,Edgar Wright & Joe Cornish and Adam McKay & Paul Rudd,,"['Stan Lee', 'Larry Lieber', 'Jack Kirby']","['Paul Rudd', 'Evangeline Lilly', 'Corey Stoll', 'Bobby Cannavale', 'Michael Peña', 'Tip ""T.I."" Harris', 'Anthony Mackie', 'Wood Harris', 'Judy Greer', 'David Dastmalchian', 'Michael Douglas']",Russell Carpenter,"['Dan Lebental', 'Colby Parker, Jr.']",Christophe Beck,Marvel Studios,Walt Disney StudiosMotion Pictures,117 minutes,United States,English,$130–169.3 million,$519.3 million,,,"['Edgar Wright', 'Joe Cornish']"
12,Captain America: Civil War,"May 6, 2016",Anthony and Joe Russo,Christopher Markus & Stephen McFeely,Kevin Feige,"['Joe Simon', 'Jack Kirby']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Paul Rudd', 'Emily VanCamp', 'Tom Holland', 'Frank Grillo', 'William Hurt', 'Daniel Brühl']",Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",Henry Jackman,Marvel Studios,Walt Disney StudiosMotion Pictures,147 minutes,United States,English,$250 million,$1.153 billion,,,
13,Doctor Strange,"November 4, 2016",Scott Derrickson,Jon Spaihts and Scott Derrickson & C. Robert Cargill,,"['Stan Lee', 'Steve Ditko']","['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong', 'Michael Stuhlbarg', 'Benjamin Bratt', 'Scott Adkins', 'Mads Mikkelsen', 'Tilda Swinton']",Ben Davis,"['Wyatt Smith', 'Sabrina Plisco']",Michael Giacchino,Marvel Studios,Walt Disney StudiosMotion Pictures,115 minutes,United States,English,$165–236.6 million,$677.7 million,"['Jon Spaihts', 'Scott Derrickson', 'C. Robert Cargill']",,
14,Guardians of the Galaxy Vol. 2,"May 5, 2017",James Gunn,,,"['Dan Abnett', 'Andy Lanning']","['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Elizabeth Debicki', 'Chris Sullivan', 'Sean Gunn', 'Sylvester Stallone', 'Kurt Russell']",Henry Braham,"['Fred Raskin', 'Craig Wood']",Tyler Bates,Marvel Studios,Walt Disney StudiosMotion Pictures,137 minutes,United States,English,$200 million,$863.8 million,James Gunn,,
15,Spider-Man: Homecoming,"July 7, 2017",Jon Watts,Jonathan Goldstein & John Francis Daley andJon Watts & Christopher Ford andChris McKenna & Erik Sommers,Kevin Feige and Amy Pascal,"['Stan Lee', 'Steve Ditko']","['Tom Holland', 'Michael Keaton', 'Jon Favreau', 'Gwyneth Paltrow', 'Zendaya', 'Donald Glover', 'Jacob Batalon', 'Laura Harrier', 'Tony Revolori', 'Bokeem Woodbine', 'Tyne Daly', 'Marisa Tomei', 'Robert Downey Jr.']",Salvatore Totino,"['Dan Lebental', 'Debbie Berman']",Michael Giacchino,,Sony Pictures Releasing,133 minutes,United States,English,$175 million,$880.2 million,,"['Columbia Pictures', 'Marvel Studios', 'Pascal Pictures']","['Jonathan Goldstein', 'John Francis Daley']"
16,Thor: Ragnarok,"November 3, 2017",Taika Waititi,Eric Pearson and Craig Kyle & Christopher L. Yost,Kevin Feige,"['Stan Lee', 'Larry Lieber', 'Jack Kirby']","['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Idris Elba', 'Jeff Goldblum', 'Tessa Thompson', 'Karl Urban', 'Mark Ruffalo', 'Anthony Hopkins']",Javier Aguirresarobe,"['Joel Negron', 'Zene Baker']",Mark Mothersbaugh,Marvel Studios,Walt Disney StudiosMotion Pictures,130 minutes,United States,English,$180 million,$854 million,"['Eric Pearson', 'Craig Kyle', 'Christopher L. Yost']",,
17,Black Panther,"February 16, 2018",Ryan Coogler,Ryan Coogler & Joe Robert Cole,,"['Stan Lee', 'Jack Kirby']","['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Angela Bassett', 'Forest Whitaker', 'Andy Serkis']",Rachel Morrison,"['Michael P. Shawver', 'Debbie Berman']",Ludwig Göransson,Marvel Studios,Walt Disney StudiosMotion Pictures,134 minutes,United States,English,$200 million,$1.348 billion,"['Ryan Coogler', 'Joe Robert Cole']",,
